Developer Name, Repository Name, Number of Stars
landing-ai , vision-agent, 560
hpcaitech , Open-Sora, 18,207
danny-avila , LibreChat, 12,993
rustdesk , rustdesk, 66,454
amplication , amplication, 13,961
open-metadata , OpenMetadata, 4,506
pocketbase , pocketbase, 35,218
zed-industries , zed, 38,271
baptisteArno , typebot.io, 5,410
argilla-io , argilla, 3,260
bleedline , aimoneyhunter, 9,996
ollama , ollama, 74,319
langflow-ai , langflow, 19,079
lobehub , lobe-chat, 32,873
practical-tutorials , project-based-learning, 177,724
omnivore-app , omnivore, 9,901
yangshun , tech-interview-handbook, 113,256
tencentmusic , supersonic, 798
serverless , serverless, 46,178
